serial,name,tag_l1,tag_l2,desc_len,description,desc_cn_len,rv,sig,total,reco_len,is_info_insufficient
#0548,Tembo Health,养老服务,远程医疗/慢病管理,73,Tembo Health（2019年成立）提供老年专科远程医疗，把急诊、精神科与护理导航集成到养老机构现场，卡位失智照护刚需，依赖美国支付方报销。,73,38.7,0.55,5.9,71,0
#0557,The Villages,养老服务,CCRC,73,美国最大的老年退休社区运营商，社区数量超过175个，分布在美国的28个州。退休社区模式让老年人在统一规划的社区内享受独立生活、社交活动和医疗服务。,127,73.7,6.55,14.3,172,0
#0641,Bloom Nutrition,消费品,更年期,73,Bloom Nutrition（2019年起步，已获9000万美元投资）专注女性健身补充剂销售，定位女性健康消费品牌，通过DTC渠道直接触达用户。,73,41.6,0.55,6.2,210,0
#0662,Cerebral,养老服务,心理健康,73,Cerebral（2020年成立，累计融资超4.6亿美元、软银投资）是在线心理健康平台，曾高速扩张但因管制药滥用遭监管重挫，是合规收缩的反面教材。,73,49.1,0.55,7.1,101,0
#0719,Guaranteed Health,养老服务,远程医疗/慢病管理,73,Guaranteed Health是2021年创立的远程医疗平台，把安宁疗护的医生评估、用药管理与家属支持搬到线上，聚焦生命末期这一缺供给的环节。,73,38.7,0.55,5.9,147,0
#0799,NewRetirement,金融保险,金融理财,73,NewRetirement（2005年成立，融资2000万美元）提供数字优先的退休理财规划服务，以双端SaaS把养老现金流可视化，面向个人与顾问。,73,41.6,0.55,6.2,80,0
#0816,Pallie AI,文娱社交,文娱,73,Pallie AI（2022年成立，融资200万美元）做支持健康与福祉的AI陪伴产品，把陪伴落在家常提醒与情绪辅助，定位轻量情感入口而非医疗工具。,73,49.6,0.55,7.5,99,0
#0836,Saga,文娱社交,旅游,73,Saga（1951年创立）是英国50+旅游保险集团，服务12万50+人群，把旅游+保险打包做康养旅居，差异化在'旅游+保险'的高净值银发文旅错位。,73,38.7,0.55,5.9,87,0
#0865,SpinSci,行业服务,AI医疗,73,SpinSci是2017年成立的医疗AI公司，用AI优化医患互动并简化机构工作流，融资5300万美元，'患者互动+内部流程'双线智能化降人工成本。,73,49.6,0.55,7.5,118,0
#0970,Generation Lab,消费品,体检筛查/长寿抗衰,73,开发平台，旨在提供全面、准确且可操作的老化诊断(Aging Diagnostics)，属于长寿经济(Longevity Economy)的关键赛道,105,49.1,0.55,7.1,79,0
#0978,SetPoint Medical,康复辅具,康复器械,73,神经免疫调节疗法开发商，研发SetPoint System(植入式设备)，通过迷走神经刺激治疗类风湿性关节炎(RA)。2025年7月获得FDA批准,144,58.1,5.05,11.3,85,0
#1025,Eldermark,行业服务,养老软件,73,Eldermark是一家深耕养老软件三十年的老牌厂商，靠长期数据沉淀做分析洞察帮机构提收入、简行政，差异化在'越老越值钱'的数据资产驱动运营思路。,73,40.6,0.55,6.0,112,0
#1136,Healthpeak Properties,投资机构,养老REIT,73,美国医疗地产REIT，将34个社区、约1万套养老住房组合注入新设的Janus Living并以RIDEA结构分拆为纯Play上市养老地产REIT。,139,61.6,6.55,12.4,106,0
#1205,乐湾养老,养老服务,适老化,73,智慧养老物联网平台企业，深度结合IoT技术为老年人提供定位预警、健康管理与环境监测等服务，赋能养老机构与社区居家养老场景，提升照护安全性与管理效率,82,49.6,0.55,7.5,125,0
#1284,MobileHelp,康复辅具,紧急呼叫,73,家用与移动医疗警报系统企业，提供带GPS的紧急呼叫设备，服务居家与户外老人的紧急呼叫需求。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,10,39.6,0.55,5.9,112,0
#1301,Amada Senior Care,养老服务/文娱社交,居家护理/陪伴服务,73,居家养老护理企业，以特许经营与自营结合，提供个人护理、陪伴与养老咨询，服务于居家老年群体。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,14,39.6,0.55,5.9,98,0
#1810,深圳市诺崔特贸易有限公司,食品营养,营养食品,73,深圳市诺崔特贸易有限公司：供给澳洲原装进口奶粉，学生奶粉，中老年奶粉、乳铁蛋白、孕妇奶。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,73,,,,84,0
#1829,深圳秉航汇通科技有限公司,康复辅具,健康管理,73,深圳秉航汇通科技有限公司：体感音波疗愈解压助眠，疲劳修复，情绪舒缓，肌肉放松寻渠道合作。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,73,,,,182,0
#1831,即予健康管理公司,康复辅具,视觉辅助,73,即予健康管理公司：对银发群体的智能视觉健康管理，对接中老年群体，寻求渠道资源，前期推广。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,73,,,,155,0
#0162,安康通,养老服务,居家护理,74,安康通是国内综合养老运营标杆企业，成立于1998年，2013年加入三胞集团，提供智慧居家养老服务，拥有自主运营的智慧养老指挥中心和专业化的服务团队。,116,56.6,0.85,8.6,83,0
#0220,星巡智能,康复辅具,视觉辅助,74,星巡智能推出智慧养老看护机“海马爷爷”，融合4K视觉与毫米波传感器，具备情感交互、跌倒监测与健康管理功能，并通过大型语言模型实现适老陪伴与紧急预警。,126,39.7,0.55,6.2,75,0
#0240,楼上,食品营养/消费品,保健品/药品,74,香港楼上燕窝庄创立于1998年，以燕窝起家并扩展至冬虫夏草、海参干鲍、海味及即食滋补品，在香港自设食品工厂，通过门店与跨境电商销售传统滋补养生食品。,106,31.6,0.55,4.7,105,0
#0308,老年人才网,文娱社交,就业,74,中国老年人才网由中国老龄协会老年人才信息中心主办，是全国老年人才信息服务平台（“一网一库一平台”），为老年人再就业提供求职招聘、职业介绍与培训指导。,10,40.7,0.55,6.2,74,0
#0534,PillPack,消费品,药品配送,74,2013年创立的处方药品配送服务商，将每日用药按剂量预先分装成独立药包，把用药依从性做成一个产品而非单纯送药；差异在“用药即服务”的订阅式药品管理。,74,38.7,0.55,5.9,97,0
#0536,Primetime Partners,投资机构,产业基金,74,Primetime Partners是专注银发经济（50+人群）的风险投资基金，由Alan Patricof创立，投资了多个老年科技和老年消费项目。,8,42.7,0.55,6.4,74,0
#0551,UpsideHōM,养老服务,康养地产,74,UpsideHōM是2020年创立的老年公寓运营商，提供带生活服务的老年公寓，把失稳长者的住所做成可报销的医疗服务，'住房即医疗产出'是反共识定位。,74,36.6,0.55,5.5,92,0
#0660,Carl,消费品,智能硬件,74,Carl（2020年成立，融资115万美元）是痴呆症友好型设备开发商，把硬件+家属App做成封闭照护系统，差异化在'看见人而非病'的家属即界面设计。,74,39.6,0.55,5.9,87,0
#0878,Tennr,行业服务,资讯门户,74,Tennr是2021年成立的医疗文档智能公司，用视觉语言模型把医院传真、转诊单自动转成可录入数据，融资1700万美元，端到端文档智能而非单点OCR。,74,41.6,0.55,6.2,117,0
#0891,Unfabled,消费品,电商,74,Unfabled（2020年成立，融资200万美元）是聚合经期与更年期合规品牌的女性健康垂直电商，以内容测评加个护形成差异化货盘，已服务数十万女性。,74,41.6,0.55,6.2,99,0
#1102,Celularity,消费品,药品,74,美国细胞再生医学公司，利用人类胎盘来源的细胞技术治疗衰老相关疾病与难治性疾病，聚焦寿命延长科学。2026年1月获1000万美元融资支持健康老龄化管线,83,49.1,0.55,7.1,93,0
#1108,Ceresti,养老服务,照护支持,74,为认知症（痴呆）患者家庭照护者提供支持的平台，结合 GUIDE 模式提供培训、协调与远程指导。2025年8月完成1170万美元融资（计划1500万）,87,49.6,0.55,7.5,82,0
#1189,Lumata Health,康复辅具,用药提醒,74,通过AI与患者参与平台提升视力保护（vision-saving）治疗的依从性与可及性，已对接全美大型眼科网络。2025年3月完成2300万美元B轮。,13,43.6,2.55,7.6,87,0
#1266,Kate Farms,食品营养,营养食品,74,植物基医学营养企业，为吞咽/营养障碍人群提供管饲与口服医用营养品，服务于临床营养与患者家庭。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,12,41.6,0.55,6.2,80,0
#1274,SuperCarers,养老服务,护工平台,74,英国居家照护匹配平台企业，连接家庭与审核通过的护理员，并提供管理工具，服务于居家养老需求方。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,84,49.6,0.55,7.5,71,0
#1279,CareVision,行业服务,养老软件,74,英国养老照护平台企业，提供家庭门户、护理记录与运营工具，连接养老机构与家属，提升照护透明度。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,80,49.6,0.55,7.5,71,0
#1812,合肥阿莫尔生物科技有限公司,食品营养,营养食品,74,合肥阿莫尔生物科技有限公司：供应血蛋白低聚肽高铁固体饮料，对接保险康养、养老机构供货合作。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,74,,,,90,0
#0089,优加健康,养老服务,陪诊,75,优加健保健康科技搭建签约医护网络，链接近5万家体检、眼科与齿科机构，向保险公司及企业输出家庭医生、院内护工、陪诊、垫付与院后照护等管理式医疗健康服务。,135,52.7,0.55,7.9,86,0
#0131,和家健脑,养老服务,认知训练/认知筛查,75,厦门市和家健脑智能科技围绕脑科学研发认知康复产品，构建快速筛查—评估—康复训练的完整闭环，其智能认知筛查与训练系统对轻度认知障碍早筛并进行数字化干预。,84,40.7,0.55,6.3,93,0
#0246,沐恒实业,养老服务,适老化,75,上海沐恒实业（2014年）是医养设施硬件综合服务商，提供适老化家具、养老空间设计与产品集成，旗下“阿沐养老”自媒体深耕行业，累计服务1600余个项目。,96,42.7,0.55,6.5,71,0
#0340,足步医疗,康复辅具,助行器,75,广州足步医疗科技专注智能辅具与康复用品，核心产品包括智能助力购物车、智能助力轮椅、四足助行机器人与防滑助行器，“行者一号”步行平台曾创吉尼斯续航纪录。,8,41.6,0.55,6.3,87,0
#0344,迈德斯特,康复辅具,护理床,75,浙江迈德斯特医疗器械专注适老化康复医疗器械，主打智能护理床、防褥疮气床垫、移位机与老年代步车，护理床产能居国内前列，产品销往50多国，服务超百万用户。,18,40.6,0.55,6.0,100,0
#0353,金牌护士,养老服务,护士上门,75,北京美鑫科技旗下互联网护理品牌“金牌护士”，以“护士上门”为特色提供居家护理、康复、陪诊与安宁疗护，平台与全国14省市医院合作，覆盖近1300个区县。,17,32.6,0.55,5.0,88,0
#0360,银创资本,投资机构,产业基金,75,江苏银创资本管理是2015年备案的私募证券/股权投资机构，长期做资管与行业并购，2022年起重点布局银发产业，投资璞缘照护、元生科技、小橙集团等项目。,27,34.6,0.55,5.3,70,0
#0376,高樟资本,投资机构,VC,75,高樟资本是范卫锋2015年创立的早期创投基金，专注内容消费、新消费与数字经济早期投资，曾投出星球研究所、菠萝斑马等，亦布局老年消费品牌「时尚奶奶团」。,26,34.6,0.55,5.3,88,0
#0488,Amava,文娱社交,教育,75,Amava（2018年成立）是一个面向退休人群的再就业与社区参与平台，连接空巢老人与社会机会，差异化在把'虚拟终身学习社区'与真实社会角色重建相绑定。,75,35.7,0.55,5.5,84,0
#0525,麻省理工学院年龄实验室,行业服务,养老咨询,75,MIT AgeLab（麻省理工学院年龄实验室）由Joseph Coughlin博士创立，是全球领先的老年科技学术研究机构，研究老龄化与技术的交叉领域。,8,42.7,0.55,6.4,84,0
#0604,AceAge,康复辅具,智能药盒/用药提醒/用药管理,75,AceAge是2017年成立的加拿大用药管理硬件商，以智能药盒Karie按钟点自动弹出多种药物、忘吃提醒家人，累计融资390万美元，主打多药老人依从。,75,44.6,2.55,7.7,80,0
#0607,ADL Smartcar,消费品,体检筛查,75,2002年成立的老年健康评估商，通过健康测评问卷系统收集老年人群健康数据，据此评估衰退风险并提供个性化建议；差异在把问卷做成低门槛的衰老轨迹筛查入口。,75,38.7,0.55,5.9,184,0
#0778,MedMinder,康复辅具/消费品,智能药盒/用药管理/药品配送,75,MedMinder是2007年成立的用药管理公司，以联网触摸屏自动药丸分配器结合送药上门提升慢病依从，融资250万美元，硬件加药房联动沉淀数据是壁垒。,75,39.6,0.55,5.9,82,0
#1038,NewLimit,消费品,长寿抗衰,75,NewLimit是估值31亿美元的长寿科技独角兽，以细胞重编程从底层机制切入抗衰老并推进人类临床试验，2026年完成4.35亿美元C轮，资本热度极高。,75,49.1,0.55,7.1,121,0
#1240,CareJoy,行业服务,养老软件,75,家庭护理机构运营平台企业，提供排班、计费、合规与家庭沟通一体化方案，服务于居家养老护理服务商。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,87,49.6,0.55,7.5,77,0
#1260,Capsule,康复辅具/消费品,智能药盒/药品配送,75,技术驱动连锁药房企业，提供当日送药与用药管理服务，便利居家老人慢病用药，服务于患者与医疗体系。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,8,41.6,0.55,6.2,104,0
#1283,Medical Guardian,康复辅具,紧急呼叫,75,美国家用医疗警报与跌倒监测服务企业，提供多种紧急呼叫与活动监测方案，服务于居家老人的安全看护。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,10,39.6,0.55,5.9,128,0
#1308,BetterAge,养老服务,慢病管理,75,面向老年人的个性化网页端健康与福祉改善项目，用数据生成定制化健康路径。成立于2020年，纽约；获NIH/美国国家衰老研究所(NIA)550万美元资助。,135,45.7,1.55,7.5,112,0
#1323,中旅好时光,养老服务/文娱社交,CCRC/旅游,75,中国旅游集团旗下银发游与康养旅居专业品牌，为50岁以上人群提供'旅游+'产品，依托集团旅行/酒店/景区/邮轮全产业链优势，融合康养、文化、社交、教育。,94,45.6,0.55,6.8,101,0
#1807,时莱泰柯（连云港）健康科技有限公司,消费品,营养食品,75,时莱泰柯（连云港）健康科技有限公司：GNC（健安喜）南极磷虾油渠道招商，需城市合伙人和渠道。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,75,,,,113,0
#1824,云南沪滇数字科技集团有限公司,康复辅具,智能硬件,75,云南沪滇数字科技集团有限公司：征集“ai智能监护床”/“智能监测床垫”/”陪护机器人”。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,75,,,,148,0
#0287,福佑,康复辅具,助行器/轮椅,76,中山市福佑康复器材有限公司成立于2007年，专业研发生产助行器、轮椅、拐杖、洗澡椅、马桶椅等康复护理器材，是国家高新技术企业，产品出口美国、德国等多国。,13,36.6,0.55,5.5,76,0
#0357,钰民,康复辅具/养老服务,轮椅/适老化,76,中山市钰民医疗科技（2007年创立）专注适老化肢体辅具，产品涵盖轮椅、助行器、拐杖、浴厕椅等，年产能超百万件，出口欧美日韩，定位“无障碍生活辅具专家”。,18,32.6,0.55,4.8,76,0
#0407,锦欣康养,养老服务,养老机构/康复医疗,76,2014年成立于成都的养老康复一体化机构，获800万美元融资；将康复医疗嵌入养老机构运营，形成“养+康”闭环服务，差异在于医疗资源与养老社区的深度绑定。,76,33.7,0.55,5.2,74,0
#0436,鱼跃医疗,康复辅具,轮椅,76,鱼跃医疗（1998年成立，A股医疗器械龙头）覆盖轮椅、制氧机、血压计、血糖仪等全品类，家用加机构双场景、电商与线下渠道下沉，直接受益老龄化居家护理刚需。,76,64.6,6.55,12.6,82,0
#0498,CareAcademy,养老服务,护工培训,76,CareAcademy（2013年成立）是家庭护理员在线培训平台，把护工课程搬上网供机构批量采购与学员自费，已接入数千家护理机构，以体系化集训形成差异。,76,45.7,0.55,6.8,85,0
#0519,强生,康复辅具,医疗器械,76,Johnson & Johnson（强生）是全球最大的医疗健康公司之一，在老年慢病管理、关节置换、眼科等领域有深度布局，旗下多个产品线直接服务老年人群。,13,38.7,0.55,5.9,74,0
#0538,ReBoot Accel,文娱社交,就业,76,2014年成立、面向职业中断人群(尤其女性)的技能刷新与求职支持机构，把育儿照护造成的空窗期包装成可迁移资产；差异在反共识地重新看见中年女性的职业价值。,76,38.7,0.55,5.9,90,0
#0565,Oak Street Health,养老服务,诊所,76,专注Medicare患者的初级保健连锁诊所，以预防性、全面护理为特色。平均患者年龄68岁，医患配比高，能同时满足看病、学习、交友需求。被Optum收购。,149,88.0,10,18.3,72,0
#0613,Air Protein,食品营养,功能性食品,76,Air Protein（2019年成立，融资7500万美元）用气体发酵把CO2合成富含蛋白的可食材料，差异化在把宇航级食品技术下探到日常高蛋白营养补充。,76,41.6,0.55,6.2,166,0
#0746,Isaac Health,养老服务,认知训练,76,2022年创立的脑健康与痴呆症照护数字健康公司，提供虚拟大脑健康筛查与痴呆症护理服务，聚焦早期认知障碍人群；差异在把痴呆照护做成远程可及的数字健康服务。,76,36.6,0.55,5.5,176,0
#0747,Jellydrops,食品营养/养老服务,营养食品/认知症,76,Jellydrops（2018年成立）是一款含95%水分与电解质的趣味凝胶软糖，把补水变成认知症老人能轻松咽下的零食，差异化在把医疗补水需求'零食化'。,76,38.7,0.55,5.9,137,0
#0888,Tuned,康复辅具,助听器,76,Tuned（2020年成立，融资750万美元）把AI装进智能助听器做算法调音与个性适配，软硬一体+DTC直面用户，差异化在验配与订阅服务而非单纯卖硬件。,76,49.6,0.55,7.5,83,0
#0916,Wheel the World,文娱社交,旅游,76,Wheel the World（2018年成立）是无障碍旅行平台，把可达路线与设施做成可检索基础设施而非单纯旅行社，为残障与老年旅客提供标准化出行信息。,76,38.7,0.55,5.9,126,0
#0951,InnovAge,养老服务,专业护理/居家护理,76,提供老年人全包护理计划(PACE)，为居家老人提供处方药、医疗保健、家庭护理、体检、医院就诊、上门协助、交通、营养等服务。2021年上市融资3.5亿美元,143,63.7,6.55,12.8,125,0
#1098,不老谜语,消费品,美妆护肤/长寿抗衰,76,国内银发抗衰护肤品牌，聚焦中老年女性抗衰赛道，以情感叙事与代际礼赠(女儿买给妈妈)场景切入；差异在垂直银发女性而非泛龄，但成分故事同质、面临珀莱雅竞争。,76,38.2,0.55,5.9,123,0
#1171,BioAge Labs,消费品,长寿抗衰,76,长寿与代谢衰老疗法公司，纳斯达克代码 BIOA，2024-09 IPO 募资 1.98 亿美元；核心管线 azelaprag 与 GLP-1 联用减重。,120,65.7,6.55,13.1,91,0
#1239,Medflyt,行业服务,养老软件,76,家庭护理机构排班与合规自动化平台企业，连接护理员与班次需求，服务于居家护理机构的运营与人员管理。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,82,49.6,0.55,7.5,102,0
#1241,Hometeam,养老服务,居家护理,76,将技术平台与人力结合的家庭护理企业，以自研APP提升护理协调与家属可视性，提供居家养老照护服务。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,82,49.6,0.55,7.5,111,0
#1267,Solace,金融保险,保险,76,医疗福利导航平台企业，帮用户梳理保险、匹配医疗资源，含复杂慢病与临终关怀协调，服务于患者与家庭。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,10,41.6,0.55,6.2,71,0
#1272,Bluecrest,消费品,体检筛查,76,英国平价健康筛查与体检企业，为成人（含老人）提供常规指标检测与风险预警，服务于大众健康筛查市场。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,12,41.6,0.55,6.2,108,0
#1292,Trust & Will,金融保险,金融理财/遗产规划,76,在线遗嘱与信托设立平台企业，帮助家庭便捷完成遗产与临终法律安排，服务于个人与家庭的养老金融需求。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,13,43.7,0.55,6.4,90,0
#0295,糖友饱饱,食品营养,糖尿病,77,糖友饱饱（杭州）主打“不升糖”控糖主食（面包、饼干、面条、粥等），与江南大学食品学院联合研发，提出“稳稳粉”低碳水配方，面向糖尿病人群，曾获数千万元融资。,94,45.7,0.55,6.8,79,0
#0304,美瑞德,康复辅具,轮椅/康复器械,77,美瑞德是温州市泰易家居科技有限公司旗下适老用品品牌，专注居家适老化，研发销售抗菌扶手、洗澡椅、轮椅、移位机、床边扶手等，服务40岁以上家庭用户及康养机构。,9,36.6,0.55,5.5,96,0
#0347,迪马常青社,养老服务,养老机构,77,迪马股份旗下康养品牌迪马常青社，布局川渝、环沪、华中三大区域，运营新鸿乐养社区、学苑医养中心等医养结合项目，床位超2000张，提供机构养老与社区居家服务。,15,32.2,0.55,5.0,166,0
#0501,Current Health,养老服务,远程护理,77,Current Health是2015年成立的居家监测平台，整合可穿戴与家庭中枢做老年慢病远程护理，2021年B轮4300万美元、被百思买约4亿美元收购。,77,52.7,2.55,8.9,90,0
#0509,GoGoGrandparent,养老服务,适老化,77,GoGoGrandparent（2016年成立）用电话而非App帮老人叫车出行，已孵化并实现盈利，以绕开智能手机的低门槛入口解决老人出行痛点，融资未披露。,77,47.7,0.55,7.2,119,0
#0555,Wider Circle,文娱社交,邻里社交/陪伴服务,77,Wider Circle（2015年成立）以邻里互助小组把健康管理、陪伴与志愿者编进社区社交，用极低成本改善独居老人生活，差异化在把社交本身当作照护载体。,77,46.6,0.55,7.1,135,0
#0689,Dorvie,养老服务,家政,77,Dorvie（2021年成立，融资260万美元）由专属人工礼宾员电话排程家政、餐饮、维修并合并月账单，收10-30美元月费，服务不愿搬入养老院的退休老人。,77,41.2,1.05,6.6,88,0
#0792,More Life Health,文娱社交,健身,77,面向50+人群的在线锻炼平台，提供视频跟练的轻量分级健身课程，把运动拆成碎片任务降低老年用户启动门槛；差异在轻资产适老健身，错位于线下健身房与广场舞平台。,77,38.7,0.55,5.9,72,0
#0813,OrCam MyEye 3 Pro,消费品,眼镜,77,OrCam MyEye 3 Pro（2010年成立）是佩戴式视觉辅具，实时读出文本、识别熟人与产品，本地边缘运算保护隐私，差异化在把视觉辅具做成消费电子。,77,36.6,0.55,5.5,79,0
#0846,Seniors Helping Seniors,养老服务,护工平台,77,Seniors Helping Seniors是1998年创立的同辈互助照护平台，匹配低龄活跃老人为需助长者提供陪伴与轻量护工，用邻里陪伴补专业人力缺口。,77,46.6,0.55,7.1,116,0
#0883,Together by Renee,康复辅具,用药提醒/用药管理,77,2021年创立的用药管理应用，用户拍摄处方照片即可生成服药清单，并由AI自动读取保险覆盖情况；差异在用药流程的可视化托管与保险接口联动，而非单纯定时提醒。,77,46.6,0.55,7.1,82,0
#0905,Vivo,文娱社交,健身,77,Vivo是2020年成立的银发健身平台，以直播小班抗阻训练含平衡与认知练习延缓肌肉流失，月留存98%、获NIH 230万资助并与AARP合作，聚焦肌少症。,77,44.1,1.05,7.0,91,0
#0935,Nikko Travel,文娱社交,旅游,77,Nikko Travel（1976年创立）专注高端老年旅游，九成以上客群为60+富裕老人、年服务约5000人、复购率70%+，2017年被三越伊势丹收购。,77,63.7,6.55,12.8,92,0
#1142,LegUp,养老服务,护工平台,77,印度照护科技平台，连接现代家庭与可信照护人员，2025年2月获Bluebridge Capital 2000万卢比(约25万美元) pre-seed融资。,87,49.6,0.55,7.5,73,0
#1187,IO Health,行业服务,AI医疗,77,面向临终关怀（hospice）与家庭健康的AI初创公司，用AI简化临床文档与运营。2025年10月完成200万美元种子轮（Nina Capital领投）。,113,41.2,1.05,6.7,92,0
#1253,Stella,消费品,更年期,77,面向更年期女性的数字健康平台企业，提供症状评估、专家咨询与个性化管理方案，服务于围绝经期女性群体。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,82,49.6,0.55,7.5,176,0
#1285,TytoCare,消费品,体检筛查,77,家用远程体检设备与平台企业，使老人可在家完成听诊、体温、耳镜等检查并连线医生，服务于远程医疗场景。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,86,49.6,0.55,7.5,70,0
#1433,上海安德发展览服务有限公司,行业服务,行业媒体,77,上海开放大学、老年大学、上海教育电视台主办 2025乐龄万象博览会 250+参展企业 10.18-20 上海展览中心 上海发布等100+官媒全媒体推送宣传,142,45.6,0.55,6.8,132,0
#0238,森梅医疗,养老服务,慢病管理,78,森梅医疗科技（重庆）研发慢性病临床病情管理系统，在院内部署临床系统、配套院外患者App，覆盖早期筛查、临床路径管理、家庭管理与患者宣教，已落地多家三甲医院。,120,33.7,0.55,5.1,89,0
#0310,老柚,文娱社交,文娱/社区,78,老柚是北京老柚多汁互联网信息服务有限公司（映客孵化）打造的中老年直播社交娱乐平台，主打同龄圈子、一键直播、K歌、多人连麦和虚拟礼物互动，降低老年人直播门槛。,11,38.7,0.55,5.9,87,0
#0330,莎浓羊奶,食品营养,营养食品,78,莎浓羊奶是依托陕西金牛乳业的羊奶乳制品连锁专卖品牌（2006年创立），门店超2500家覆盖全国20余省，产品涵盖婴幼儿至中老年羊奶粉、液态羊奶等全家营养品。,9,38.7,0.55,5.7,129,0
#0336,豪悦,消费品,纸尿裤,78,杭州豪悦护理（605009）是国内个人护理用品制造商，主营婴儿与成人卫生用品，成人纸尿裤收入占比约三分之一，为多家国内外知名品牌代工，2020年上交所上市。,83,43.7,0.55,6.3,76,0
#0358,铂桐医疗,养老服务,安宁疗护,78,铂桐医疗（苏州）是国内首家以癌痛为切入点的数字医疗疼痛管理平台，由肿瘤支持治疗专家王杰军教授创立，提供疼痛智能评估与阶梯化管理，获远毅资本Pre-A轮融资。,30,36.6,0.55,5.6,77,0
#0363,银汤屋,养老服务,居家护理,78,银汤屋是杭州中民银创科技旗下老年助浴品牌，研发智能洗浴设备与物联网助浴管理平台，通过政府购买服务、长护险及赋能机构/社区开展上门助浴，降低失能老人洗浴门槛。,30,41.6,0.55,6.5,75,0
#0391,yooLab,消费品/食品营养,长寿抗衰/个性化营养,78,YouLabs 是一家印度长寿与精准健康公司，通过医生主导的个性化健康方案、表观遗传年龄检测及肽类/补剂，借助WhatsApp AI提供抗衰与健康管理服务。,28,34.6,0.55,5.3,91,0
#0502,现名 CoGenerate,文娱社交,就业,78,专注激活老年人力资本的公益对接平台，将退休专家的经验技能匹配给非营利组织，并开展代际连接项目服务活力老人；差异在于把“经验资产”而非低技能劳力对接社会议题。,78,35.7,0.55,5.5,102,0
#0511,GoodTrust,金融保险,遗产规划,78,GoodTrust是2020年成立的数字遗产平台，把遗嘱、信托与线上账号保管整合为自助式产品，2021年种子轮500万美元，切老龄化财富传承的身后交接刚需。,78,42.6,2.55,7.5,94,0
#0521,Lively,康复辅具,紧急呼叫/跌倒监测,78,Lively（原GreatCall）是美国面向老年人的紧急响应与健康管理品牌，提供医疗警报设备、跌倒检测与24小时求助响应，以及简易手机Jitterbug。,10,38.7,0.55,5.9,70,0
#0539,Rendever,文娱社交,陪伴服务,78,Rendever（2015年成立）提供老年VR社交与云游览服务，用沉浸式虚拟现实把孤独老人连成线上社群、以回忆疗法稀释孤独，差异化在把科技做成情感陪伴载体。,78,38.7,0.55,5.9,102,0
#0541,三星,消费品,智能硬件,78,Samsung（三星）在银发经济领域通过智能健康设备、Digital Health平台和适老化电子产品布局老年健康市场，同时在韩国本土市场运营养老服务平台。,10,38.7,0.55,5.9,105,0
#0556,iRelaunch,文娱社交,就业,78,iRelaunch（2007年成立）专注职业中断人群（含银发）重返职场，系统推'returnship'再实习机制，差异化在补上被忽视的职业空窗期再就业环节。,78,38.7,0.55,5.9,80,0
#0615,Alaffia Health,金融保险,保险科技,78,Alaffia Health（2020年成立，已融资1000万美元）用生成式AI简化健康计划的索赔审核与对账，帮险企降低运营成本，走AI加理赔的B2B路线。,78,57.1,0.55,8.4,81,0
#0919,YgEia3,消费品,体检筛查,78,YgEia3是2022年成立的英国B2B健康检测商，为企业员工提供可追踪的年度健康项目与实验室结果，客户含企业与高校，2023年完成4.83亿英镑私募融资。,78,48.7,5.55,10.2,75,0
#0926,大和房屋工业 (Daiwa House),养老服务,适老化,78,1955年创立的日本大型住宅开发商，将适老化改造做成可批量交付的住宅部品，把防滑、无高差等模块标准化嵌入新建与旧改；差异在房企以工业化能力压低单户改造成本。,78,38.7,0.55,5.9,80,0
#0967,Google Gemini AI 健康教练,养老服务,慢病管理,78,基于Gemini LLM的个性化健康教练，整合Fitbit/Pixel Watch数据。科技巨头首次将顶级LLM深度用于大规模、个性化的慢性病和健康风险管理,88,49.6,0.55,7.5,160,0
#1145,Cadence,行业服务,AI医疗,78,临床AI公司，用AI护理模型管理老年慢病，2026年6月获1亿美元Series C，被全美领先医疗系统采用，对标按效付费(value-based)慢病管理。,142,60.6,4.55,11.4,85,0
#1148,Validose,康复辅具,用药提醒,78,精准给药(precision medication delivery)公司，2025年2月获200万美元pre-seed，解决临床试验与慢病用药依从性难题。,10,41.6,0.55,6.2,113,0
