name,name_cn,tag_l1,tag_l2,business_tags_customer,business_tags_role,business_tags_channel,国家地区,简介,原分类category_l1,原分类category_l2
BrightSpring Health,,养老服务,居家护理,B2B,服务商(媒体/数据),,海外,家庭保健提供商，收购多家组织,行业服务,行业媒体
Brightview Senior Living,,养老服务;医疗健康,养老机构;认知症,B2B+B2C,服务商,,海外,痴呆症护理养老院，成立于1999年,养老地产,运营商
ByHeart,,食品营养,营养食品,B2C,制造商(消费品),,海外,婴儿营养品公司，FDA注册婴儿配方奶粉,行业服务,行业媒体
CardioSignal,,医疗健康,慢病管理,B2B,服务商(媒体/数据),,海外,数字心脏生物标志物检测心脏病,行业服务,行业媒体
Care Continuity,,养老服务;智能科技,专业护理;护理平台;数字化,B2B+B2C,服务商,,海外,软件+礼宾服务帮助患者护理导航和过渡,养老服务,专业级护理
CareBridge,,养老服务;文娱社交,居家护理;文娱;社交平台,B2B+B2C,平台,,海外,高风险患者居家和虚拟医疗，2023年Inc.5000榜首，收入8.73亿,老年文娱,社交平台
CareCentrix,,养老服务,专业护理;居家护理,B2B+B2C,服务商,,海外,成立于1996年，家庭护理服务提供商,养老服务,专业级护理
Caredoc,,养老服务,居家护理,B2B+B2C,服务商,,海外,韩国排名第一的老年护理品牌,行业服务,行业媒体
Careforth,,养老服务,专业护理;护理平台,B2B+B2C,服务商,,海外,为家庭照顾者提供帮助,养老服务,专业级护理
Carefull,,文娱社交;金融保险,养老金融;文娱;社交平台,B2B,服务商,,海外,AI帮助银行和理财顾问保护老年客户免受金融诈骗,老年文娱,社交平台
Caregiver Media Group,,养老服务;文娱社交,居家护理;行业媒体,B2B+B2C,服务商,,海外,《今日护理员》杂志，护理书籍和会议,行业服务,行业媒体
CareGuide,,养老服务,护理平台,B2B+B2C,服务商,,海外,经营一系列网站连接家庭与护理服务提供者,行业服务,行业媒体
CareYaya,,养老服务,护理平台,B2B+B2C,服务商,,海外,"将需要护理人员的人与医疗保健学生配对，25,000+学生",行业服务,行业媒体
Carl,,医疗健康;消费品,康复医疗;智能硬件;认知症,B2B+B2C,服务商,,海外,痴呆症友好型设备开发商，简化护理管理,康复设备,运动康复
Center Well,,养老服务;医疗健康,专业护理;健康管理,B2B+B2C,服务商,,海外,Humana将老年护理诊所和Kindred at Home整合为CenterWell品牌,养老服务,专业级护理
Cerebral,,精神健康,心理健康服务,B2B,服务商(媒体/数据),,海外,在线心理健康，软银投资,行业服务,行业媒体
ChenMed,,医疗健康,健康管理,B2C,服务商,,海外,Oak Street竞争对手，强调更高医患配比和医生强化培训,行业服务,行业媒体
Ciba Health,,医疗健康,慢病管理,B2B,服务商(媒体/数据),,海外,通过根本治疗逆转慢性疾病的数字健康,行业服务,行业媒体
circleengage,,金融保险,保险科技,B2B+B2C,服务商,,海外,为医疗保险公司和经纪人提供销售和运营管理平台,行业服务,行业媒体
Citizen Health,,医疗健康;文娱社交,健康管理;文娱;社交平台,B2B,技术服务商,,海外,AI消费者健康平台，构建全面知识库,老年文娱,社交平台
Cityblock Health,,医疗健康;文娱社交,慢病管理;文娱;社交平台,B2B+B2C,平台,,海外,服务不足社区的复杂疾病提供商，估值57亿美元，年收入超10亿,老年文娱,社交平台
Clara Home Care,,养老服务,居家护理;护理平台,B2B+B2C,平台,,海外,在线平台连接需要居家护理的家庭与护理人员,行业服务,行业媒体
Clever Care Health Plan,,金融保险,产业资本;保险,B2B+B2C,服务商,,海外,文化包容性Medicare Advantage计划，东方福利,行业服务,行业媒体
Clipboard Health,,文娱社交,医护配置,B2B,服务商(媒体/数据),,海外,医疗保健配置市场，估值13亿美元,行业服务,行业媒体
Cloud DX,,医疗健康,慢病管理;远程医疗,B2B,服务商(媒体/数据),,海外,远程患者监控平台，虚拟管理慢性病,行业服务,行业媒体
CoachCare,,医疗健康,慢病管理;远程医疗,B2B+B2C,服务商,,海外,远程患者监控、慢性病管理和远程治疗监控,健康服务,慢病管理
Cohere Health,,医疗健康;文娱社交,健康管理;文娱;社交平台,B2B,技术服务商,,海外,AI简化健康计划和提供商的事先授权,老年文娱,社交平台
Compassus,,养老服务;医疗健康,临终关怀;居家护理,B2B+B2C,服务商,,海外,美国家庭护理领先者，提供家庭保健、输液治疗、姑息治疗和临终关怀,养老服务,临终关怀
Concerto Care,,养老服务,专业护理;居家护理,B2B+B2C,服务商,,海外,家庭护理服务提供商,养老服务,专业级护理
Conduce Health,,智能科技,照护系统,B2B,服务商(媒体/数据),,海外,将付款人与多专业医生联系,行业服务,行业媒体
Credo Health,,文娱社交;智能科技,数字化;文娱;社交平台,B2B,技术服务商,,海外,AI医疗记录收集和分析，促进价值型护理,老年文娱,社交平台
CVS Health,,医疗健康,健康管理,B2B+B2C,服务商,,海外,收购Oak Street Health、Amedisys等，布局老年护理,行业服务,行业媒体
Daffodil Health,,养老服务;文娱社交,文娱;智慧养老;社交平台,B2B,技术服务商,,海外,生成式AI为付款人自动化网络外定价,老年文娱,社交平台
DarioHealth,,医疗健康,慢病管理,B2B+B2C,服务商,,海外,收购Twill，多慢性病数字疗法平台,健康服务,慢病管理
Daughterhood,,养老服务;文娱社交,护理平台;文娱;社交平台,B2C,平台,,海外,为照顾年长父母的看护人提供支持，书籍推荐,老年文娱,社交平台
Day Two,,食品营养,营养食品,B2C,制造商(消费品),,海外,基于微生物组的代谢疾病精准营养,行业服务,行业媒体
Devoted Health,,金融保险,保险,B2B+B2C,服务商,,海外,现代医疗保险优势计划提供商，服务14万+会员,行业服务,行业媒体
DigitalOwl,,文娱社交;智能科技,AI科技;数字化;文娱;社交平台,B2B,技术服务商,,海外,AI和机器学习为付款人提供医疗文件分析,老年文娱,社交平台
Dimer Health,,医疗健康,健康管理,B2B,服务商(媒体/数据),,海外,机器学习预测哪些患者有再入院风险,行业服务,行业媒体
DiningRD,,食品营养,营养食品,B2B+B2C,平台,,海外,46个州4000+医疗保健社区提供营养师咨询和餐饮服务,健康食品,保健品&OTC
Domma,,医疗健康;女性健康,女性健康服务;更年期,B2B,服务商(媒体/数据),,海外,治疗更年期荷尔蒙失调的非侵入性疗法,行业服务,行业媒体
DoorSpace,,医疗健康,健康管理,B2B,服务商(媒体/数据),,海外,医疗保健领域首个员工关系管理系统,行业服务,行业媒体
Dorvie,,文娱社交,陪伴服务,B2B,服务商(媒体/数据),,海外,礼宾人员安排各种服务，每月合并账单,行业服务,行业媒体
Dwellr,,养老服务,护理平台,B2B+B2C,平台,,海外,直接与老年生活社区联系，无中间人无佣金,行业服务,行业媒体
Eargo,,消费品,助听器,B2B,服务商(媒体/数据),,海外,外形小巧，可放入耳朵内,行业服务,行业媒体
eargym,,文娱社交;消费品,助听器;文娱;社交平台,B2C,平台,线上,海外,个性化听力健康伴侣APP，沉浸式游戏提高听力,老年文娱,社交平台
Elektra Health,,医疗健康;女性健康,女性健康服务;慢病管理;更年期;远程医疗,B2B+B2C,服务商,,海外,更年期护理服务商，远程医疗+更年期专家,健康服务,慢病管理
Elidah,,养老服务;医疗健康;消费品,专业护理;康复医疗;智能硬件,未标注,制造商(硬件/设备),,海外,Elitone治疗压力性尿失禁的非侵入性方法,康复设备,运动康复
Ellipsis Health,,文娱社交;智能科技,AI科技;文娱;社交平台,B2C,平台,,海外,融资很高，不是面向老人的,老年文娱,社交平台
ElliQ,,文娱社交,文娱;社交平台,B2B+B2C,服务商,,海外,ElliQ是以色列Intuition Robotics开发的AI老年社交陪伴机器人，能主动发起对话、提醒服药、推荐活动，已在美国数千家庭部署。由Dor Skul,老年文娱,社交平台
Embodied,,文娱社交,陪伴机器人,B2B+B2C,服务商,,海外,智能伴侣机器人研发商，情感功能，家庭健康护理,行业服务,行业媒体
Embr Labs,,养老服务;医疗健康,健康监测;适老化,B2B,服务商(媒体/数据),,海外,通过温度解决健康问题，管理潮热、睡眠、压力,行业服务,行业媒体
Evernow,,医疗健康;女性健康,女性健康服务;更年期,B2B,服务商(媒体/数据),,海外,数字化手段管理更年期症状，定制化治疗方案,行业服务,行业媒体
Family First,,养老服务;金融保险,专业护理;产业资本;护理平台,B2B+B2C,服务商,,海外,与雇主和保险公司合作提供护理支持,养老服务,专业级护理
findhelp,,养老服务;医疗健康,SODH;专业护理,B2B+B2C,服务商,,海外,"美国领先的社会护理网络，536,269个计划地点",养老服务,专业级护理
Float,,文娱社交,医护配置,B2B,服务商(媒体/数据),,海外,将有额外时间的护士与需要在家输液的个人连接,行业服务,行业媒体
flyte,,养老服务,专业护理,B2B,技术服务商,,海外,尿失禁治疗科技服务商,行业服务,行业媒体
Foodsmart,,医疗健康;食品营养,营养食品;远程医疗,B2C,制造商(消费品),,海外,远程营养和食品福利管理平台，740万患者,健康食品,保健品&OTC
Foundation Partners Group,,医疗健康,临终关怀,B2B,服务商(媒体/数据),,海外,美国第二大殡葬服务提供商，收购Cake,行业服务,行业媒体
Friendi.fi,,文娱社交,文娱;社交平台;陪伴机器人,B2B,技术服务商,,海外,生成式AI模型提供高信任度对话关系,老年文娱,社交平台
Gather Health,,养老服务;医疗健康,SODH;居家护理,未标注,服务商,,海外,为老年人提供社会初级保健，面对面+虚拟,健康食品,保健品&OTC
Gennev,,医疗健康;女性健康,女性健康服务;更年期,B2B,服务商(媒体/数据),,海外,更年期女性在线健康平台，虚拟诊疗、HRT等,行业服务,行业媒体
GeoH,,养老服务;智能科技,专业护理;照护系统,B2B+B2C,服务商,,海外,家庭护理管理和支付软件,养老服务,专业级护理
GetSetUp,,文娱社交,教育;文娱,B2B,服务商(媒体/数据),线上,海外,线上老年学习与社交融合，疫情后爆发式增长,行业服务,行业媒体
Glooko,,医疗健康,健康监测;慢病管理,B2B,技术服务商,,海外,为慢性疾病患者提供医疗技术和联网医疗平台,健康服务,血压血糖
GoodRx,,医疗健康,健康管理;药品,未标注,上市公司,,海外,比较不同药店处方药价格，已上市,行业服务,行业媒体
Grace,,养老服务;医疗健康,专业护理;女性健康服务,B2B,服务商(媒体/数据),,海外,专为女性设计的可持续健康品牌，膀胱渗漏,行业服务,行业媒体
Grand Circle,,文娱社交,旅游,B2B,服务商(媒体/数据),,海外,年营收6亿，200万50岁+,行业服务,行业媒体
Grayce,,养老服务;医疗健康,SODH;专业护理,B2B+B2C,服务商,,海外,综合性社会护理平台，数字工具+社会工作者专业知识,养老服务,专业级护理
GroundGame Health/SameSky Health,,医疗健康,健康管理,B2B,服务商(媒体/数据),,海外,为医疗资源匮乏的患者提供医疗服务，合并,行业服务,行业媒体
Grow Therapy,,精神健康,心理健康服务,B2B+B2C,服务商,,海外,在线平台将人们与使用保险计划的治疗师匹配,行业服务,行业媒体
Growl,,文娱社交,健身;文娱;社交平台,B2B,技术服务商,,海外,家庭健身AI互动拳击教练，面向全年龄段,老年文娱,社交平台
Guaranteed Health,,医疗健康,临终关怀;慢病管理;远程医疗,B2B+B2C,服务商,,海外,远程临终关怀医疗服务,健康服务,慢病管理
Halmek,,消费品;渠道零售,日用;电商;零售,B2B,服务商(媒体/数据),,海外,面向50+女性做健康资讯杂志，引流到商品销售，年利润6000多万,购物渠道,线上渠道
Hamilton Health Box,,医疗健康,健康管理,B2B,服务商(媒体/数据),,海外,微型诊所在医疗资源匮乏地区提供初级保健,行业服务,行业媒体
Harbor Health,,医疗健康,健康管理,B2B,服务商(媒体/数据),,海外,初级和专科诊所集团,行业服务,行业媒体
HarmonyCares,,养老服务;医疗健康,健康管理;居家护理,未标注,服务商,,海外,家庭初级保健提供商，15个州7万+患者,健康食品,保健品&OTC
Hazel,,养老服务,专业护理,B2B,服务商(媒体/数据),,海外,为40-70岁女性开发现代失禁尿布,行业服务,行业媒体
Headway,,精神健康,心理健康服务,B2B+B2C,服务商,,海外,帮助患者与受保险保障的治疗师连接，估值23亿,行业服务,行业媒体
HealthArc,,养老服务;医疗健康,专业护理;护理平台;远程医疗,B2B+B2C,服务商,,海外,远程患者监控、护理和协调平台,养老服务,专业级护理
HealthSnap,,养老服务;医疗健康,专业护理;慢病管理;虚拟护理,B2B+B2C,服务商,,海外,慢性病管理的虚拟护理管理平台,养老服务,专业级护理
Hedia,,医疗健康,健康监测;慢病管理,B2B+B2C,服务商,,海外,糖尿病管理数字疗法，糖尿病助手,健康服务,血压血糖
Hello Heart,,医疗健康,健康监测;慢病管理,B2B,服务商(媒体/数据),线上,海外,心脏健康管理，无线血压袖带+APP跟踪,行业服务,行业媒体
hellocare.ai,,养老服务;智能科技,AI科技;专业护理;虚拟护理,B2B,技术服务商,,海外,AI辅助虚拟护理服务，主要服务医院,养老服务,专业级护理
Help-full,,文娱社交,文娱;陪伴服务,B2B,服务商(媒体/数据),,海外,将老年人与有共同兴趣的人配对，做饭、洗衣等,行业服务,行业媒体
Helper bees,,养老服务,居家护理;适老化,B2B+B2C,服务商,,海外,技术平台，连接保险公司与非医疗居家服务提供商，服务覆盖43家大型支付方和2万+服务商，涵盖居家护理、适老化改造、送餐、保洁、交通等,行业服务,行业媒体
Heyday Health,,养老服务;金融保险,产业资本;居家护理,B2B+B2C,服务商,,海外,虚拟价值型医疗服务，Medicare和双重合格患者,行业服务,行业媒体
Hibiscus Health,,医疗健康,健康监测;慢病管理,B2B,技术服务商,,海外,面部血流分析技术30秒检测早期糖尿病风险,健康服务,血压血糖
HiDO,,医疗健康;消费品,健康管理;康复医疗;智能硬件,B2B+B2C,制造商(硬件/设备),线上,海外,患者友好型设备+移动APP，用药自动化,康复设备,运动康复
Homeage,,医疗健康,健康管理,B2B,服务商(媒体/数据),,海外,健康管理服务平台,行业服务,行业媒体
HomeCare.com,,养老服务,护理平台,B2B+B2C,服务商,,海外,家庭护理转介服务,行业服务,行业媒体
Huel,,食品营养,营养食品,B2C,制造商(消费品),,海外,营养全面的食品,行业服务,行业媒体
Hyfe AI,,医疗健康;文娱社交,健康监测;文娱;社交平台,B2B,技术服务商,,海外,AI咳嗽检测和分类，7亿+样本，55岁以上占74%,老年文娱,社交平台
Ilant Health,,医疗健康,健康管理,B2B,服务商(媒体/数据),,海外,基于价值的肥胖管理和心脏代谢健康,行业服务,行业媒体
Imperative Care,,医疗健康,慢病管理,B2B+B2C,服务商,,海外,改变生活的技术，为中风和血管疾病患者提供护理,行业服务,行业媒体
In-House Health,,养老服务;文娱社交,文娱;智慧养老;社交平台,B2B,技术服务商,,海外,AI驱动的护理团队调度和管理平台,老年文娱,社交平台
Incredible Health,,文娱社交,医护配置,B2B,服务商(媒体/数据),,海外,护士配置市场，估值16.5亿美元,行业服务,行业媒体
Infinitus Systems,,养老服务;文娱社交,文娱;智慧养老;社交平台,B2B,技术服务商,,海外,AI自动拨打医疗保健相关电话,老年文娱,社交平台
InHome Therapy,,养老服务;医疗健康;消费品,居家护理;康复医疗;智能硬件,B2B+B2C,服务商,,海外,家庭护理和康复提供商,康复设备,运动康复
Isaac Health,,医疗健康,认知症,B2B+B2C,服务商,,海外,虚拟大脑健康和痴呆症护理数字健康初创公司,行业服务,行业媒体
Jellydrops,,医疗健康,认知症,B2B,服务商(媒体/数据),,海外,无糖零食，95%水+电解质，促进补水,行业服务,行业媒体
JOGO Health,,医疗健康;消费品;精神健康,心理健康服务;慢病管理;智能硬件;认知症,未标注,制造商(硬件/设备),,海外,利用大脑神经可塑性治疗慢性疼痛和失禁，FDA批准,康复设备,精神&神经
joyforall,,医疗健康;文娱社交,文娱;认知症,B2B+B2C,服务商,,海外,宠物机器人，为阿尔茨海默症或痴呆患者带来舒适和陪伴,行业服务,行业媒体
K4Connect,,养老服务,适老化改造,B2B,服务商(媒体/数据),,海外,为老年人和残障人士提供服务和赋权的解决方案,行业服务,行业媒体
Kalogon,,消费品,日用;智能硬件,B2B,服务商(媒体/数据),,海外,智能坐垫预防轮椅使用者压疮,行业服务,行业媒体
Keep Company,,养老服务,专业护理,B2B+B2C,服务商,,海外,帮助雇主量化和留住身为护理人员的员工,养老服务,专业级护理
Kemtai,,文娱社交;消费品,健身;眼镜,B2B,技术服务商,,海外,FDA批准的计算机视觉AI锻炼和评估平台,养老用品,视觉障碍
Kins,,养老服务;医疗健康,专业护理;健康管理;居家护理,B2B+B2C,服务商,,海外,虚拟+面对面物理治疗，NPS达92,养老服务,专业级护理
Kinto,,医疗健康;文娱社交;智能科技,AI科技;文娱;社交平台;认知症,B2B,技术服务商,,海外,AI支持平台，照顾痴呆症亲人，被Rippl收购,老年文娱,社交平台
Kismet,,养老服务,护理平台,B2B+B2C,服务商,,海外,"寻找护理服务提供商平台，35,000+服务提供商",行业服务,行业媒体
Koda Health,,养老服务,专业护理;护理平台,B2B+B2C,服务商,,海外,数字化提前护理计划解决方案,养老服务,专业级护理
Labrador Systems,,养老服务;智能科技,机器人;适老化,B2B+B2C,服务商,,海外,日常辅助机器人，送餐、洗衣服等,行业服务,行业媒体
Lace AI Pro,,消费品,助听器,未标注,服务商,,海外,超越助听器，教患者用大脑来聆听,养老用品,听觉障碍
Ladder,,文娱社交,健身;文娱,B2C,服务商,,海外,虚拟力量训练，每月29.99美元订阅,老年文娱,老年健身
LifeAfterMe,,医疗健康,临终关怀,B2B,服务商(媒体/数据),,海外,确保亲人不必担心收集重要数字数据,行业服务,行业媒体
LifeBio,,文娱社交;精神健康,心理健康服务;文娱,B2B,技术服务商,,海外,AI回忆疗法平台，收集和分享老年人生活故事，获NIA资助,行业服务,行业媒体
LifeLoop,,养老服务;文娱社交,养老社区;文娱;社交平台,B2B+B2C,平台,,海外,面向养老社区的综合管理和活动组织工具，4700+社区,老年文娱,社交平台
Lilli,,医疗健康;文娱社交;消费品,文娱;智能硬件;社交平台;远程医疗,B2B,技术服务商,,海外,AI远程监控设备，支持家庭护理，9:1投资回报率,老年文娱,社交平台
Linus Health,,医疗健康,认知症,未标注,服务商,,海外,数字健康解决方案，早期发现阿尔茨海默症，收购Aural Analytics,失智老人赛道,病情早筛
Livara Health,,医疗健康,慢病管理,B2B,服务商(媒体/数据),,海外,为肌肉骨骼疾病患者减少不必要的手术,行业服务,行业媒体
Log my Care,,养老服务,护理平台,B2B,服务商(媒体/数据),,海外,数字化养老院管理平台,行业服务,行业媒体
Lottie,,养老服务,护理平台,B2B,服务商(媒体/数据),,海外,寻找养老院平台,行业服务,行业媒体
Lotus Ring,,养老服务;消费品,智能硬件;适老化,B2B,服务商(媒体/数据),,海外,戴在手指上的遥控器，红外线控制灯光、风扇等,行业服务,行业媒体
LUCID (Resonance Rx),,医疗健康;文娱社交,文娱;认知症,B2B,技术服务商,,海外,AI音乐疗法、音频认知行为疗法和认知游戏,老年文娱,老年音乐
Luminary,,医疗健康;金融保险,临终关怀;养老金融,B2B,服务商,,海外,专为信托和遗产规划顾问打造的数据和协作平台,行业服务,行业媒体
Mable,,养老服务,护理平台,B2B+B2C,服务商,,海外,在线平台，残障人士或老年人找到护理工作者,行业服务,行业媒体
Marta,,养老服务,居家护理;护理平台,B2B+B2C,平台,,海外,直接连接护理人员，寻找居家护理人员,行业服务,行业媒体
Maven Clinic,,医疗健康,女性健康服务,B2B,服务商(媒体/数据),,海外,综合性女性健康平台，包括更年期服务,行业服务,行业媒体
Mealogic,,食品营养,营养食品,B2B,服务商(媒体/数据),,海外,为医疗保健提供商提供科学送餐解决方案，非专门面向老人,行业服务,行业媒体
MedArrive,,医疗健康,SODH,B2B,服务商(媒体/数据),,海外,医疗保健物流平台，连接患者与按需医疗运输,行业服务,行业媒体
Medisafe,,医疗健康;文娱社交,健康管理;文娱;社交平台,B2B,制造商(药),线上,海外,药物管理APP，可视化时间表+提醒,老年文娱,社交平台
MedMinder,,消费品,智能硬件,B2B+B2C,服务商,,海外,联网药房护理，触摸屏自动药丸分配器,行业服务,行业媒体
Meela,,文娱社交,文娱;社交平台;陪伴机器人,B2B,技术服务商,,海外,老年人AI语音伴侣，通过电话提供AI陪伴，B2B订阅模式,老年文娱,社交平台
Mend,,文娱社交;食品营养,文娱;社交平台;营养食品,B2C,制造商(消费品),,海外,AI驱动的营养平台，营养补充剂+数字平台,老年文娱,社交平台
Menolabs,,医疗健康;女性健康;食品营养,保健品;女性健康服务;更年期,未标注,服务商,,海外,更年期保健产品，被Dr. Reddy's收购,健康食品,保健品&OTC
Metyos,,医疗健康;消费品,慢病管理;智能硬件,B2B+B2C,制造商(硬件/设备),,海外,慢性肾病监测设备，类似FreeStyle Libre,健康服务,慢病管理
Midi Health,,养老服务;女性健康,专业护理;更年期;虚拟护理,B2B+B2C,服务商,,海外,最快发展的虚拟护理诊所，专门服务绝经期女性,养老服务,专业级护理
Mighty Health,,文娱社交,健身,B2C,制造商(消费品),,海外,面向50+人群，多合一运动、营养和健康计划,行业服务,行业媒体
Miihealth,,文娱社交,文娱;社交平台;陪伴机器人,B2C,制造商(硬件/设备),,海外,对话式AI健康伴侣，结合传感器和智能手表,老年文娱,社交平台
MindAhead,,医疗健康;精神健康,心理健康服务;认知症,B2B,服务商(媒体/数据),,海外,基于行为激活的治疗应用程序，轻度认知障碍和痴呆症,行业服务,行业媒体
MindMics,,医疗健康,健康监测;慢病管理,B2B,技术服务商,,海外,日常耳机改造成健康监测器，次声波技术心血管监测,行业服务,行业媒体
Modify Health,,食品营养,营养食品,B2C,制造商(消费品),,海外,营养师处方、医学定制膳食和肠道健康测试,健康食品,保健品&OTC
Modivcare,,养老服务;医疗健康,SODH;专业护理;远程医疗,B2B+B2C,服务商,,海外,非紧急医疗运输、个人护理服务和远程患者监控,养老服务,专业级护理
Moneta Health,,医疗健康;消费品,康复医疗;智能硬件;认知症;认知训练,B2B+B2C,服务商,,海外,AI辅助认知康复虚拟诊所，基于医疗保险报销，平均认知改善18%,康复设备,运动康复
Monogram Health,,养老服务;医疗健康,居家护理;慢病管理,B2B+B2C,平台,,海外,多种慢性疾病居家护理，2023年收入近22亿美元,健康服务,慢病管理
More Life Health,,医疗健康;文娱社交,健康管理;健身,B2C,服务商,,海外,老年人在线锻炼,健康服务,健康养生
myo,,文娱社交;智能科技,数字化;文娱;社交平台,B2B+B2C,服务商,线上,海外,通信和服务APP，护理机构、家庭和服务商数字通信,老年文娱,社交平台
Naborforce,,文娱社交,陪伴服务,B2B,服务商(媒体/数据),,海外,为原地养老的老人提供跑腿服务,行业服务,行业媒体
Navel,,文娱社交,文娱;陪伴机器人,B2B+B2C,服务商,,海外,下一代社交机器人，在德国多家养老院使用,行业服务,行业媒体
NeoSilver,,文娱社交,文娱,B2B,服务商(媒体/数据),,海外,解决老年人孤独问题的法国平台,行业服务,行业媒体
NeuroClues,,医疗健康;消费品,健康管理;智能硬件;认知症,B2B+B2C,制造商(硬件/设备),,海外,眼动追踪设备检测神经退行性疾病，帕金森筛查,健康服务,健康养生
NeuroNation,,医疗健康,认知症,未标注,制造商(硬件/设备),,海外,强化大脑，日常记忆训练,失智老人赛道,认知症产品
NewRetirement,,金融保险,养老金融,B2B,服务商(媒体/数据),,海外,数字优先退休理财规划服务,行业服务,行业媒体
NexStride,,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,海外,小型设备连接助行器，灯光和声音信号帮助行走,行业服务,行业媒体
Nice healthcare,,养老服务,居家护理,B2B+B2C,服务商,,海外,虚拟/上门初级保健、物理治疗和慢性护理管理,健康食品,保健品&OTC
Nirvana,,养老服务;文娱社交;金融保险,保险科技;文娱;智慧养老;社交平台,B2B+B2C,服务商,,海外,AI技术为医疗服务提供者和患者提供即时保险验证,老年文娱,社交平台
Nobel Hygiene,,消费品,日用,B2B,服务商(媒体/数据),,海外,个人卫生用品，包括成人尿布和卫生巾,行业服务,行业媒体
Nobi,,医疗健康;消费品,健康监测;智能硬件,B2B,服务商(媒体/数据),,海外,智能灯跌倒检测，销往21个国家,行业服务,行业媒体
Nomad Health,,文娱社交,医护配置,B2B,服务商(媒体/数据),,海外,为临时医疗保健人员提供在线求职门户网站,行业服务,行业媒体
Nourish,,医疗健康,远程医疗,B2B+B2C,服务商,,海外,将人们与受保险覆盖的注册营养师连接,行业服务,行业媒体
NourishedRx,,食品营养,营养食品,B2C,制造商(消费品),,海外,为健康计划和提供者提供个性化食品解决方案,健康食品,保健品&OTC
Nudj Health,,医疗健康,SODH,B2B+B2C,服务商,,海外,将生活方式健康融入患者护理的虚拟科技服务,行业服务,行业媒体
Omena,,医疗健康;女性健康,健康管理;女性健康服务;更年期,B2C,服务商,,海外,女性健康和保健数字健康平台,健康服务,健康养生
One Medical,,养老服务;医疗健康;文娱社交,健康管理;养老社区;文娱;社交平台,B2C,平台,,海外,会员制初级保健机构，2023年被亚马逊收购,老年文娱,社交平台
OneroRx,,医疗健康,远程医疗,B2B,服务商(媒体/数据),,海外,专业和远程药房服务，服务老年生活设施,行业服务,行业媒体
OneStep,,医疗健康,健康监测,B2C,制造商(硬件/设备),,海外,利用智能手机传感器分析人的步态,行业服务,行业媒体
OrCam MyEye 3 Pro,,养老服务;消费品,眼镜;适老化,未标注,服务商,,海外,智能放大镜，读出文本、识别面部和产品,养老用品,视觉障碍
Osher Lifelong Learning Institutes (OLLI),,文娱社交,教育,B2B,服务商(媒体/数据),,海外,非营利性老年终身学习，50岁以上非学分课程,行业服务,行业媒体
Oshi Health,,医疗健康,健康管理;慢病管理,B2B+B2C,服务商,,海外,虚拟方式提供消化系统健康全面护理,行业服务,行业媒体
Pallie AI,,文娱社交,文娱;社交平台;陪伴机器人,B2B,技术服务商,,海外,支持健康和福祉的人工智能伴侣产品,老年文娱,社交平台
PanTheryx,,医疗健康;食品营养,健康管理;营养食品,B2B,服务商(媒体/数据),,海外,利用牛初乳的细胞和生物分子,行业服务,行业媒体
Pear Suite,,医疗健康;智能科技,SODH;数字化,B2B+B2C,平台,,海外,使社区卫生工作者识别和解决SDOH问题,行业服务,行业媒体
Pearl Health,,医疗健康;女性健康,女性健康服务;更年期,B2B,服务商(媒体/数据),,海外,为更年期女性提供全面健康管理服务,行业服务,行业媒体
PeerLyfe,,医疗健康;文娱社交,SODH;文娱;社交平台,B2B+B2C,平台,,海外,面向55岁以上老人和居住社区的社交网络,老年文娱,社交平台
PeopleOne Health,,养老服务;医疗健康,专业护理;健康管理,B2B+B2C,服务商,,海外,以雇主为中心的预防性护理混合医疗服务提供商,养老服务,专业级护理
Perry,,女性健康,更年期,B2B+B2C,平台,,海外,为女性提供围绝经期支持，专家资源+社区,行业服务,行业媒体
Pillo Health,,医疗健康,健康管理,B2B,服务商(媒体/数据),,海外,帮助老人科学用药、买正版药,行业服务,行业媒体
Punto Health,,医疗健康;文娱社交;智能科技,AI科技;文娱;社交平台;认知症,B2B,技术服务商,,海外,AI驱动综合平台改善痴呆症患者及其家人护理,老年文娱,社交平台
PurFoods,,食品营养,营养食品,B2B,服务商(媒体/数据),,海外,为食物不安全的人提供健康餐，医疗补助福利,行业服务,行业媒体
Pyx Health,,养老服务;文娱社交,专业护理;文娱;陪伴机器人,B2B+B2C,服务商,,海外,为老人提供虚拟陪伴和支持，2024年Inc.5000第517名,养老服务,专业级护理
RapidClaims,,医疗健康;文娱社交;智能科技,AI科技;健康管理;文娱;社交平台,B2B,技术服务商,,海外,AI帮助医疗服务提供商实现医疗编码自动化,老年文娱,社交平台
Redi Health,,医疗健康,健康管理,B2B,制造商(药),,海外,连接制药公司、医疗保健提供商和患者,健康服务,健康养生
reev.care,,养老服务;医疗健康;消费品,康复医疗;智能硬件;适老化,未标注,制造商(硬件/设备),,海外,帮助中风、多发性硬化症后神经步态障碍患者,康复设备,运动康复
Remodel Health,,金融保险,保险,B2B,服务商(媒体/数据),,海外,雇主和经纪人应对ICHRA过渡,行业服务,行业媒体
Rest Less,,文娱社交,就业,B2B,服务商(媒体/数据),,海外,英国中老年就业服务平台,行业服务,行业媒体
RETISPEC,,医疗健康,认知症,未标注,服务商,,海外,通过视网膜成像早期检测阿尔茨海默病,失智老人赛道,病情早筛
