serial,name,tag_l1,tag_l2,desc_len,desc_preview,desc_cn_len,desc_cn_preview,rv,sig,total,has_recommend,reco_len
#0836,Saga,文娱社交,旅游,73,Saga（1951年创立）是英国50+旅游保险集团，服务12万50+人群，把旅游+保险打包做康养旅居，差异化在'旅游+保险'的高净值银发文旅错位。,73,Saga（1951年创立）是英国50+旅游保险集团，服务12万50+人群，把旅游+保险打包做康养旅居，差异化在'旅游+保险'的高净值银发文旅错位。,38.7,0.55,5.9,True,87
#0865,SpinSci,行业服务,AI医疗,73,SpinSci是2017年成立的医疗AI公司，用AI优化医患互动并简化机构工作流，融资5300万美元，'患者互动+内部流程'双线智能化降人工成本。,73,SpinSci是2017年成立的医疗AI公司，用AI优化医患互动并简化机构工作流，融资5300万美元，'患者互动+内部流程'双线智能化降人工成本。,49.6,0.55,7.5,True,118
#0970,Generation Lab,消费品,体检筛查/长寿抗衰,73,开发平台，旨在提供全面、准确且可操作的老化诊断(Aging Diagnostics)，属于长寿经济(Longevity Economy)的关键赛道,105,开发老化诊断（Aging Diagnostics）平台的抗衰公司，旨在提供全面可操作的衰老评估，2025年获1100万美元、累计1500万美元融资，投资方Accel。定位在把衰老变成可量化指标，处临床,49.1,0.55,7.1,True,79
#0978,SetPoint Medical,康复辅具,康复器械,73,神经免疫调节疗法开发商，研发SetPoint System(植入式设备)，通过迷走神经刺激治疗类风湿性关节炎(RA)。2025年7月获得FDA批准,144,美国神经免疫调节器械商，核心产品SetPoint System为植入式迷走神经刺激器，每日1分钟电刺激抗炎通路治类风湿。2025年7月获FDA批准，11月获CMS过渡支付编码C1607，并完成1.4亿,58.1,5.05,11.3,True,85
#1025,Eldermark,行业服务,养老软件,73,Eldermark是一家深耕养老软件三十年的老牌厂商，靠长期数据沉淀做分析洞察帮机构提收入、简行政，差异化在'越老越值钱'的数据资产驱动运营思路。,73,Eldermark是一家深耕养老软件三十年的老牌厂商，靠长期数据沉淀做分析洞察帮机构提收入、简行政，差异化在'越老越值钱'的数据资产驱动运营思路。,40.6,0.55,6.0,True,112
#1136,Healthpeak Properties,投资机构,养老REIT,73,美国医疗地产REIT，将34个社区、约1万套养老住房组合注入新设的Janus Living并以RIDEA结构分拆为纯Play上市养老地产REIT。,139,大型综合医疗地产REIT，将34个养老社区注入分拆出的纯Play平台后，把资产重心转向门诊医疗与生命科学实验室。收入来自triple-net净租赁下运营商支付的租金。银发价值在'养老地产单独分拆、母体,61.6,6.55,12.4,True,106
#1205,乐湾养老,养老服务,适老化,73,智慧养老物联网平台企业，深度结合IoT技术为老年人提供定位预警、健康管理与环境监测等服务，赋能养老机构与社区居家养老场景，提升照护安全性与管理效率,82,智慧养老物联网平台，深度融合IoT为老人做定位预警、健康管理与环境监测，赋能机构与社区居家场景，亮点在软硬一体做适老化提升照护安全，是国内养老IoT平台的典型代表。,49.6,0.55,7.5,True,125
#1284,MobileHelp,康复辅具,紧急呼叫,73,家用与移动医疗警报系统企业，提供带GPS的紧急呼叫设备，服务居家与户外老人的紧急呼叫需求。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,10,B2C 家用医疗警报,39.6,0.55,5.9,True,112
#1301,Amada Senior Care,养老服务/文娱社交,居家护理/陪伴服务,73,居家养老护理企业，以特许经营与自营结合，提供个人护理、陪伴与养老咨询，服务于居家老年群体。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,14,B2C/B2B 居家照护服务,39.6,0.55,5.9,True,98
#1403,广州百寻数字科技有限公司,养老服务/行业服务,慢病管理/养老信息平台,73,"平台化服务企业，链接百家以上医疗设备厂家，用户规模超500万。
【提供资源】慢病管理平台及相关行业解决方案
【需求资源】养老机构及健康管理机构对接",7,聚焦慢病管理的,39.6,0.55,5.9,True,81
,深圳市诺崔特贸易有限公司,食品营养,营养食品,73,深圳市诺崔特贸易有限公司：供给澳洲原装进口奶粉，学生奶粉，中老年奶粉、乳铁蛋白、孕妇奶。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,73,深圳市诺崔特贸易有限公司：供给澳洲原装进口奶粉，学生奶粉，中老年奶粉、乳铁蛋白、孕妇奶。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,84
,深圳秉航汇通科技有限公司,康复辅具,健康管理,73,深圳秉航汇通科技有限公司：体感音波疗愈解压助眠，疲劳修复，情绪舒缓，肌肉放松寻渠道合作。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,73,深圳秉航汇通科技有限公司：体感音波疗愈解压助眠，疲劳修复，情绪舒缓，肌肉放松寻渠道合作。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,182
,即予健康管理公司,康复辅具,视觉辅助,73,即予健康管理公司：对银发群体的智能视觉健康管理，对接中老年群体，寻求渠道资源，前期推广。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,73,即予健康管理公司：对银发群体的智能视觉健康管理，对接中老年群体，寻求渠道资源，前期推广。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,155
#0162,安康通,养老服务,居家护理,74,安康通是国内综合养老运营标杆企业，成立于1998年，2013年加入三胞集团，提供智慧居家养老服务，拥有自主运营的智慧养老指挥中心和专业化的服务团队。,116,智慧居家养老运营标杆，为各地政府与单位提供一站式养老解决方案，业务含紧急救援、居家上门、社区中心、长护险服务与适老化改造，以'互联网加大养老'链式模式承建政府指挥中心并落地社区服务。覆盖24省市、28,56.6,0.85,8.6,True,83
#0220,星巡智能,康复辅具,视觉辅助,74,星巡智能推出智慧养老看护机“海马爷爷”，融合4K视觉与毫米波传感器，具备情感交互、跌倒监测与健康管理功能，并通过大型语言模型实现适老陪伴与紧急预警。,126,面向居家老人的AI看护机厂商，以4K视觉与毫米波传感器融合大模型，提供跌倒监测、情感交互与健康提醒。设备无佩戴负担、界面适老化，通过APP向子女推送预警。收入来自硬件销售与养老机构、渠道采购，已入选国,39.7,0.55,6.2,True,75
#0240,楼上,食品营养/消费品,保健品/药品,74,香港楼上燕窝庄创立于1998年，以燕窝起家并扩展至冬虫夏草、海参干鲍、海味及即食滋补品，在香港自设食品工厂，通过门店与跨境电商销售传统滋补养生食品。,106,香港老字号健康滋补品牌，以燕窝起家，扩展至冬虫夏草、海参干鲍与即食滋补品，在香港设有数十家直营门店并布局天猫国际等跨境电商。收入来自个人自费。客群为全龄家庭消费者，老年非专项目标，属大健康滋补消费品而,31.6,0.55,4.7,True,105
#0308,老年人才网,文娱社交,就业,74,中国老年人才网由中国老龄协会老年人才信息中心主办，是全国老年人才信息服务平台（“一网一库一平台”），为老年人再就业提供求职招聘、职业介绍与培训指导。,10,全国老年人才就业平台,40.7,0.55,6.2,True,74
#0534,PillPack,消费品,药品配送,74,2013年创立的处方药品配送服务商，将每日用药按剂量预先分装成独立药包，把用药依从性做成一个产品而非单纯送药；差异在“用药即服务”的订阅式药品管理。,74,2013年创立的处方药品配送服务商，将每日用药按剂量预先分装成独立药包，把用药依从性做成一个产品而非单纯送药；差异在“用药即服务”的订阅式药品管理。,38.7,0.55,5.9,True,97
#0536,Primetime Partners,投资机构,产业基金,74,Primetime Partners是专注银发经济（50+人群）的风险投资基金，由Alan Patricof创立，投资了多个老年科技和老年消费项目。,8,B2B 科技研发,42.7,0.55,6.4,True,74
#0551,UpsideHōM,养老服务,康养地产,74,UpsideHōM是2020年创立的老年公寓运营商，提供带生活服务的老年公寓，把失稳长者的住所做成可报销的医疗服务，'住房即医疗产出'是反共识定位。,74,UpsideHōM是2020年创立的老年公寓运营商，提供带生活服务的老年公寓，把失稳长者的住所做成可报销的医疗服务，'住房即医疗产出'是反共识定位。,36.6,0.55,5.5,True,92
#0660,Carl,消费品,智能硬件,74,Carl（2020年成立，融资115万美元）是痴呆症友好型设备开发商，把硬件+家属App做成封闭照护系统，差异化在'看见人而非病'的家属即界面设计。,74,Carl（2020年成立，融资115万美元）是痴呆症友好型设备开发商，把硬件+家属App做成封闭照护系统，差异化在'看见人而非病'的家属即界面设计。,39.6,0.55,5.9,True,87
#0878,Tennr,行业服务,资讯门户,74,Tennr是2021年成立的医疗文档智能公司，用视觉语言模型把医院传真、转诊单自动转成可录入数据，融资1700万美元，端到端文档智能而非单点OCR。,74,Tennr是2021年成立的医疗文档智能公司，用视觉语言模型把医院传真、转诊单自动转成可录入数据，融资1700万美元，端到端文档智能而非单点OCR。,41.6,0.55,6.2,True,117
#0891,Unfabled,消费品,电商,74,Unfabled（2020年成立，融资200万美元）是聚合经期与更年期合规品牌的女性健康垂直电商，以内容测评加个护形成差异化货盘，已服务数十万女性。,74,Unfabled（2020年成立，融资200万美元）是聚合经期与更年期合规品牌的女性健康垂直电商，以内容测评加个护形成差异化货盘，已服务数十万女性。,41.6,0.55,6.2,True,99
#1102,Celularity,消费品,药品,74,美国细胞再生医学公司，利用人类胎盘来源的细胞技术治疗衰老相关疾病与难治性疾病，聚焦寿命延长科学。2026年1月获1000万美元融资支持健康老龄化管线,83,美国细胞再生医学公司，利用人类胎盘来源细胞技术治疗衰老相关疾病与难治性疾病，聚焦寿命延长科学，2026年1月获1000万美元融资。定位在长寿生物科技研发，处临床早期。,49.1,0.55,7.1,True,93
#1108,Ceresti,养老服务,照护支持,74,为认知症（痴呆）患者家庭照护者提供支持的平台，结合 GUIDE 模式提供培训、协调与远程指导。2025年8月完成1170万美元融资（计划1500万）,87,为认知症家庭照护者提供支持的平台，结合培训、协调与远程指导，并对接美国按人头付费的照护模式，亮点在赋能家属并绑定支付方，2025年完成千万级美元融资，是认知症照护赋能的代表。,49.6,0.55,7.5,True,82
#1189,Lumata Health,康复辅具,用药提醒,74,通过AI与患者参与平台提升视力保护（vision-saving）治疗的依从性与可及性，已对接全美大型眼科网络。2025年3月完成2300万美元B轮。,13,眼科慢病治疗依从性AI平台,43.6,2.55,7.6,True,87
#1266,Kate Farms,食品营养,营养食品,74,植物基医学营养企业，为吞咽/营养障碍人群提供管饲与口服医用营养品，服务于临床营养与患者家庭。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,12,B2C/B2B 医学营养,41.6,0.55,6.2,True,80
#1274,SuperCarers,养老服务,护工平台,74,英国居家照护匹配平台企业，连接家庭与审核通过的护理员，并提供管理工具，服务于居家养老需求方。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,84,英国居家照护匹配平台，连接家庭与审核通过的护理员并提供管理工具，2014年成立，亮点在把护工供给做成可信市场，是护工匹配平台的海外成熟样本之一，可参考，重点在审核机制。,49.6,0.55,7.5,True,71
#1279,CareVision,行业服务,养老软件,74,英国养老照护平台企业，提供家庭门户、护理记录与运营工具，连接养老机构与家属，提升照护透明度。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,80,英国养老照护平台，提供家庭门户、护理记录与运营工具、连接机构与家属、提升透明度，2015年成立，亮点在家属门户化解信息不对称，是养老家属沟通平台的样本，可参考。,49.6,0.55,7.5,True,71
#1477,中科启新生命细胞科技(深圳)有限公司,消费品,长寿抗衰/体检筛查,74,"医学检测，家族全科医学服务，细胞医学，抗衰老医学
【提供资源】医学检测，家族全科医学服务，细胞医学，抗衰老医学
【需求资源】有钱，有病，有认同的客户",7,聚焦康复医疗的,39.6,0.55,5.9,True,119
,合肥阿莫尔生物科技有限公司,食品营养,营养食品,74,合肥阿莫尔生物科技有限公司：供应血蛋白低聚肽高铁固体饮料，对接保险康养、养老机构供货合作。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,74,合肥阿莫尔生物科技有限公司：供应血蛋白低聚肽高铁固体饮料，对接保险康养、养老机构供货合作。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,90
#0089,优加健康,养老服务,陪诊,75,优加健保健康科技搭建签约医护网络，链接近5万家体检、眼科与齿科机构，向保险公司及企业输出家庭医生、院内护工、陪诊、垫付与院后照护等管理式医疗健康服务。,135,数字化管理式医疗健康服务组织，用SaaS链接医疗机构、商保护士与保司，输出家庭医生、陪诊、护理、垫付与慢病管理等服务。收入来自2B保司及企业客户的服务费与解决方案费。银发关联在为中老年群体提供居家慢病,52.7,0.55,7.9,True,86
#0131,和家健脑,养老服务,认知训练/认知筛查,75,厦门市和家健脑智能科技围绕脑科学研发认知康复产品，构建快速筛查—评估—康复训练的完整闭环，其智能认知筛查与训练系统对轻度认知障碍早筛并进行数字化干预。,84,认知康复数字医疗企业，围绕阿尔茨海默早筛与干预，提供'快速筛查-评估-康复训练'闭环的软件系统与评估训练仪，获二类医疗器械与数字疗法双证，面向医院、社区与公卫场景服务。,40.7,0.55,6.3,True,93
#0246,沐恒实业,养老服务,适老化,75,上海沐恒实业（2014年）是医养设施硬件综合服务商，提供适老化家具、养老空间设计与产品集成，旗下“阿沐养老”自媒体深耕行业，累计服务1600余个项目。,96,"面向养老机构与政府部门提供适老化空间整体解决方案,业务含康养项目设计咨询、适老家具研发制造与""阿沐养老""行业自媒体;收入来自设计服务费、适老家具销售与内容运营,研发中心在南京、自有工厂在湖州。",42.7,0.55,6.5,True,71
#0340,足步医疗,康复辅具,助行器,75,广州足步医疗科技专注智能辅具与康复用品，核心产品包括智能助力购物车、智能助力轮椅、四足助行机器人与防滑助行器，“行者一号”步行平台曾创吉尼斯续航纪录。,8,智能助行辅具厂商,41.6,0.55,6.3,True,87
#0344,迈德斯特,康复辅具,护理床,75,浙江迈德斯特医疗器械专注适老化康复医疗器械，主打智能护理床、防褥疮气床垫、移位机与老年代步车，护理床产能居国内前列，产品销往50多国，服务超百万用户。,18,B2B/B2C 康复辅具与适老化硬件,40.6,0.55,6.0,True,100
#0353,金牌护士,养老服务,护士上门,75,北京美鑫科技旗下互联网护理品牌“金牌护士”，以“护士上门”为特色提供居家护理、康复、陪诊与安宁疗护，平台与全国14省市医院合作，覆盖近1300个区县。,17,B2C/B2B 居家及机构护理服务,32.6,0.55,5.0,True,88
#0360,银创资本,投资机构,产业基金,75,江苏银创资本管理是2015年备案的私募证券/股权投资机构，长期做资管与行业并购，2022年起重点布局银发产业，投资璞缘照护、元生科技、小橙集团等项目。,27,长期资管与并购的私募机构，2022年起重点布局银发产业,34.6,0.55,5.3,True,70
#0376,高樟资本,投资机构,VC,75,高樟资本是范卫锋2015年创立的早期创投基金，专注内容消费、新消费与数字经济早期投资，曾投出星球研究所、菠萝斑马等，亦布局老年消费品牌「时尚奶奶团」。,26,早期创投基金，专注内容消费与新消费，布局老年消费品牌,34.6,0.55,5.3,True,88
#0488,Amava,文娱社交,教育,75,Amava（2018年成立）是一个面向退休人群的再就业与社区参与平台，连接空巢老人与社会机会，差异化在把'虚拟终身学习社区'与真实社会角色重建相绑定。,75,Amava（2018年成立）是一个面向退休人群的再就业与社区参与平台，连接空巢老人与社会机会，差异化在把'虚拟终身学习社区'与真实社会角色重建相绑定。,35.7,0.55,5.5,True,84
#0525,麻省理工学院年龄实验室,行业服务,养老咨询,75,MIT AgeLab（麻省理工学院年龄实验室）由Joseph Coughlin博士创立，是全球领先的老年科技学术研究机构，研究老龄化与技术的交叉领域。,8,B2B 科技研发,42.7,0.55,6.4,True,84
#0604,AceAge,康复辅具,智能药盒/用药提醒/用药管理,75,AceAge是2017年成立的加拿大用药管理硬件商，以智能药盒Karie按钟点自动弹出多种药物、忘吃提醒家人，累计融资390万美元，主打多药老人依从。,75,AceAge是2017年成立的加拿大用药管理硬件商，以智能药盒Karie按钟点自动弹出多种药物、忘吃提醒家人，累计融资390万美元，主打多药老人依从。,44.6,2.55,7.7,True,80
#0607,ADL Smartcar,消费品,体检筛查,75,2002年成立的老年健康评估商，通过健康测评问卷系统收集老年人群健康数据，据此评估衰退风险并提供个性化建议；差异在把问卷做成低门槛的衰老轨迹筛查入口。,75,2002年成立的老年健康评估商，通过健康测评问卷系统收集老年人群健康数据，据此评估衰退风险并提供个性化建议；差异在把问卷做成低门槛的衰老轨迹筛查入口。,38.7,0.55,5.9,True,184
#0778,MedMinder,康复辅具/消费品,智能药盒/用药管理/药品配送,75,MedMinder是2007年成立的用药管理公司，以联网触摸屏自动药丸分配器结合送药上门提升慢病依从，融资250万美元，硬件加药房联动沉淀数据是壁垒。,75,MedMinder是2007年成立的用药管理公司，以联网触摸屏自动药丸分配器结合送药上门提升慢病依从，融资250万美元，硬件加药房联动沉淀数据是壁垒。,39.6,0.55,5.9,True,82
#1038,NewLimit,消费品,长寿抗衰,75,NewLimit是估值31亿美元的长寿科技独角兽，以细胞重编程从底层机制切入抗衰老并推进人类临床试验，2026年完成4.35亿美元C轮，资本热度极高。,75,NewLimit是估值31亿美元的长寿科技独角兽，以细胞重编程从底层机制切入抗衰老并推进人类临床试验，2026年完成4.35亿美元C轮，资本热度极高。,49.1,0.55,7.1,True,121
#1240,CareJoy,行业服务,养老软件,75,家庭护理机构运营平台企业，提供排班、计费、合规与家庭沟通一体化方案，服务于居家养老护理服务商。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,87,家庭护理机构运营平台，提供排班、计费、合规与家属沟通一体化，服务居家养老护理商，亮点在把机构后台做成统一系统，是居家护理机构一体化运营的SaaS样本，可参考，落地看付费意愿。,49.6,0.55,7.5,True,77
#1260,Capsule,康复辅具/消费品,智能药盒/药品配送,75,技术驱动连锁药房企业，提供当日送药与用药管理服务，便利居家老人慢病用药，服务于患者与医疗体系。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,8,B2C 药品配送,41.6,0.55,6.2,True,104
#1283,Medical Guardian,康复辅具,紧急呼叫,75,美国家用医疗警报与跌倒监测服务企业，提供多种紧急呼叫与活动监测方案，服务于居家老人的安全看护。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,10,B2C 家用医疗警报,39.6,0.55,5.9,True,128
#1308,BetterAge,养老服务,慢病管理,75,面向老年人的个性化网页端健康与福祉改善项目，用数据生成定制化健康路径。成立于2020年，纽约；获NIH/美国国家衰老研究所(NIA)550万美元资助。,135,面向老年群体的AI福祉平台：通过12维度健康与福祉测评，基于正向心理学生成个性化行动建议，鼓励老人连接社区与同伴；对C端免费，向老龄化服务机构（地区老龄化事务署、社区组织）收年度订阅费，并获政府科研资,45.7,1.55,7.5,True,112
#1323,中旅好时光,养老服务/文娱社交,CCRC/旅游,75,中国旅游集团旗下银发游与康养旅居专业品牌，为50岁以上人群提供'旅游+'产品，依托集团旅行/酒店/景区/邮轮全产业链优势，融合康养、文化、社交、教育。,94,这是中国旅游集团推出的银发游与康养旅居专业品牌，2024年12月29日对外发布，面向50岁以上人群提供旅游加康养旅居产品，依托集团在旅行、酒店与景区方面的资源，主打活力老人的康养文旅路线。,45.6,0.55,6.8,True,101
#1413,凡笛思（上海）科技有限公司,文娱社交/养老服务,文娱/适老化,75,"为银发人群提供休闲娱乐空间和产品服务
【提供资源】线下会馆实体空间+适老化产品+AI应用程序+线下服务团队
【需求资源】更多场地+适老化产品+人群网络",6,聚焦适老化的,39.6,0.55,5.9,True,85
#1527,中天无限科技公司,行业服务,养老咨询,75,"策划组织老年产业银发经济论坛等主题活动，老年产业合作。
【提供资源】基金会，上市公司，媒体关系，养老机构等
【需求资源】企业合作，专家合作，养老机构等",7,聚焦养老机构的,35.6,0.55,5.3,True,72
,时莱泰柯（连云港）健康科技有限公司,消费品,营养食品,75,时莱泰柯（连云港）健康科技有限公司：GNC（健安喜）南极磷虾油渠道招商，需城市合伙人和渠道。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,75,时莱泰柯（连云港）健康科技有限公司：GNC（健安喜）南极磷虾油渠道招商，需城市合伙人和渠道。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,113
,云南沪滇数字科技集团有限公司,康复辅具,智能硬件,75,云南沪滇数字科技集团有限公司：征集“ai智能监护床”/“智能监测床垫”/”陪护机器人”。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,75,云南沪滇数字科技集团有限公司：征集“ai智能监护床”/“智能监测床垫”/”陪护机器人”。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,,,,True,148
#0287,福佑,康复辅具,助行器/轮椅,76,中山市福佑康复器材有限公司成立于2007年，专业研发生产助行器、轮椅、拐杖、洗澡椅、马桶椅等康复护理器材，是国家高新技术企业，产品出口美国、德国等多国。,13,康复护理器材制造商（出口）,36.6,0.55,5.5,True,76
#0357,钰民,康复辅具/养老服务,轮椅/适老化,76,中山市钰民医疗科技（2007年创立）专注适老化肢体辅具，产品涵盖轮椅、助行器、拐杖、浴厕椅等，年产能超百万件，出口欧美日韩，定位“无障碍生活辅具专家”。,18,B2B/B2C 康复辅具与适老化硬件,32.6,0.55,4.8,True,76
#0407,锦欣康养,养老服务,养老机构/康复医疗,76,2014年成立于成都的养老康复一体化机构，获800万美元融资；将康复医疗嵌入养老机构运营，形成“养+康”闭环服务，差异在于医疗资源与养老社区的深度绑定。,76,2014年成立于成都的养老康复一体化机构，获800万美元融资；将康复医疗嵌入养老机构运营，形成“养+康”闭环服务，差异在于医疗资源与养老社区的深度绑定。,33.7,0.55,5.2,True,74
#0436,鱼跃医疗,康复辅具,轮椅,76,鱼跃医疗（1998年成立，A股医疗器械龙头）覆盖轮椅、制氧机、血压计、血糖仪等全品类，家用加机构双场景、电商与线下渠道下沉，直接受益老龄化居家护理刚需。,76,鱼跃医疗（1998年成立，A股医疗器械龙头）覆盖轮椅、制氧机、血压计、血糖仪等全品类，家用加机构双场景、电商与线下渠道下沉，直接受益老龄化居家护理刚需。,64.6,6.55,12.6,True,82
#0498,CareAcademy,养老服务,护工培训,76,CareAcademy（2013年成立）是家庭护理员在线培训平台，把护工课程搬上网供机构批量采购与学员自费，已接入数千家护理机构，以体系化集训形成差异。,76,CareAcademy（2013年成立）是家庭护理员在线培训平台，把护工课程搬上网供机构批量采购与学员自费，已接入数千家护理机构，以体系化集训形成差异。,45.7,0.55,6.8,True,85
#0519,强生,康复辅具,医疗器械,76,Johnson & Johnson（强生）是全球最大的医疗健康公司之一，在老年慢病管理、关节置换、眼科等领域有深度布局，旗下多个产品线直接服务老年人群。,13,B2B 行业媒体/数据服务,38.7,0.55,5.9,True,74
#0538,ReBoot Accel,文娱社交,就业,76,2014年成立、面向职业中断人群(尤其女性)的技能刷新与求职支持机构，把育儿照护造成的空窗期包装成可迁移资产；差异在反共识地重新看见中年女性的职业价值。,76,2014年成立、面向职业中断人群(尤其女性)的技能刷新与求职支持机构，把育儿照护造成的空窗期包装成可迁移资产；差异在反共识地重新看见中年女性的职业价值。,38.7,0.55,5.9,True,90
#0565,Oak Street Health,养老服务,诊所,76,专注Medicare患者的初级保健连锁诊所，以预防性、全面护理为特色。平均患者年龄68岁，医患配比高，能同时满足看病、学习、交友需求。被Optum收购。,149,面向Medicare 65+人群的社区初级保健诊所网络，提供线下诊所与上门结合的年度健康评估、慢病管理。采用Medicare按人头全额风险预付，由CMS及MA计划按月付费，靠主动健康管理压低住院率获取,88.0,10,18.3,True,72
#0613,Air Protein,食品营养,功能性食品,76,Air Protein（2019年成立，融资7500万美元）用气体发酵把CO2合成富含蛋白的可食材料，差异化在把宇航级食品技术下探到日常高蛋白营养补充。,76,Air Protein（2019年成立，融资7500万美元）用气体发酵把CO2合成富含蛋白的可食材料，差异化在把宇航级食品技术下探到日常高蛋白营养补充。,41.6,0.55,6.2,True,166
#0746,Isaac Health,养老服务,认知训练,76,2022年创立的脑健康与痴呆症照护数字健康公司，提供虚拟大脑健康筛查与痴呆症护理服务，聚焦早期认知障碍人群；差异在把痴呆照护做成远程可及的数字健康服务。,76,2022年创立的脑健康与痴呆症照护数字健康公司，提供虚拟大脑健康筛查与痴呆症护理服务，聚焦早期认知障碍人群；差异在把痴呆照护做成远程可及的数字健康服务。,36.6,0.55,5.5,True,176
#0747,Jellydrops,食品营养/养老服务,营养食品/认知症,76,Jellydrops（2018年成立）是一款含95%水分与电解质的趣味凝胶软糖，把补水变成认知症老人能轻松咽下的零食，差异化在把医疗补水需求'零食化'。,76,Jellydrops（2018年成立）是一款含95%水分与电解质的趣味凝胶软糖，把补水变成认知症老人能轻松咽下的零食，差异化在把医疗补水需求'零食化'。,38.7,0.55,5.9,True,137
#0888,Tuned,康复辅具,助听器,76,Tuned（2020年成立，融资750万美元）把AI装进智能助听器做算法调音与个性适配，软硬一体+DTC直面用户，差异化在验配与订阅服务而非单纯卖硬件。,76,Tuned（2020年成立，融资750万美元）把AI装进智能助听器做算法调音与个性适配，软硬一体+DTC直面用户，差异化在验配与订阅服务而非单纯卖硬件。,49.6,0.55,7.5,True,83
#0916,Wheel the World,文娱社交,旅游,76,Wheel the World（2018年成立）是无障碍旅行平台，把可达路线与设施做成可检索基础设施而非单纯旅行社，为残障与老年旅客提供标准化出行信息。,76,Wheel the World（2018年成立）是无障碍旅行平台，把可达路线与设施做成可检索基础设施而非单纯旅行社，为残障与老年旅客提供标准化出行信息。,38.7,0.55,5.9,True,126
#0951,InnovAge,养老服务,专业护理/居家护理,76,提供老年人全包护理计划(PACE)，为居家老人提供处方药、医疗保健、家庭护理、体检、医院就诊、上门协助、交通、营养等服务。2021年上市融资3.5亿美元,143,专为失能双重资格老人设计的全包式日间照护中心网络，在6个州运营20个PACE中心，为约8000名参保者提供医疗、康复、营养与接送的一站式到店+上门服务。收入来自政府按人头打包付费、公司承担全部医疗风险,63.7,6.55,12.8,True,125
#1098,不老谜语,消费品,美妆护肤/长寿抗衰,76,国内银发抗衰护肤品牌，聚焦中老年女性抗衰赛道，以情感叙事与代际礼赠(女儿买给妈妈)场景切入；差异在垂直银发女性而非泛龄，但成分故事同质、面临珀莱雅竞争。,76,国内银发抗衰护肤品牌，聚焦中老年女性抗衰赛道，以情感叙事与代际礼赠(女儿买给妈妈)场景切入；差异在垂直银发女性而非泛龄，但成分故事同质、面临珀莱雅竞争。,38.2,0.55,5.9,True,123
#1171,BioAge Labs,消费品,长寿抗衰,76,长寿与代谢衰老疗法公司，纳斯达克代码 BIOA，2024-09 IPO 募资 1.98 亿美元；核心管线 azelaprag 与 GLP-1 联用减重。,120,长寿科技生物公司，用衰老队列数据反推代谢衰老靶点，研发GLP-1联用减重药与NLRP3抑制剂等抗衰疗法。尚未商业化，收入来自研发合作与资本市场融资。银发价值在面向年龄相关慢病，但其“概念叙事—临床兑现,65.7,6.55,13.1,True,91
#1239,Medflyt,行业服务,养老软件,76,家庭护理机构排班与合规自动化平台企业，连接护理员与班次需求，服务于居家护理机构的运营与人员管理。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,82,家庭护理机构的排班与合规自动化平台，连接护理员与班次需求、做运营与人员管理，2016年成立，亮点在替居家护理机构扛下最重的排班合规，是护工机构后台效率工具，可借鉴。,49.6,0.55,7.5,True,102
#1241,Hometeam,养老服务,居家护理,76,将技术平台与人力结合的家庭护理企业，以自研APP提升护理协调与家属可视性，提供居家养老照护服务。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,82,把技术平台与人力结合的家庭护理企业，用自研App提升护理协调与家属可视性、提供居家照护，2013年成立，亮点在技术加服务双轮而非纯平台，是居家照护服务化转型的样本。,49.6,0.55,7.5,True,111
#1267,Solace,金融保险,保险,76,医疗福利导航平台企业，帮用户梳理保险、匹配医疗资源，含复杂慢病与临终关怀协调，服务于患者与家庭。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,10,B2B 医疗福利导航,41.6,0.55,6.2,True,71
#1272,Bluecrest,消费品,体检筛查,76,英国平价健康筛查与体检企业，为成人（含老人）提供常规指标检测与风险预警，服务于大众健康筛查市场。企业聚焦银发场景，通过技术与服务满足中老年群体的细分需求,12,B2C/B2B 健康筛查,41.6,0.55,6.2,True,108
